from case url https://indiankanoon.org/docfragment/190139671/?formInput=doctypes%3A%20supremecourt%20fromdate%3A%201-4-1947%20todate%3A%2030-4-1947  03/18/2021, 19:10:52local variable 'judgement_div' referenced before assignment
from case url https://indiankanoon.org/docfragment/109856551/?formInput=doctypes%3A%20supremecourt%20fromdate%3A%201-4-1947%20todate%3A%2030-4-1947  03/18/2021, 19:18:28local variable 'judgement_div' referenced before assignment
from case url https://indiankanoon.org/docfragment/110589654/?formInput=doctypes%3A%20supremecourt%20fromdate%3A%201-8-1948%20todate%3A%2031-8-1948  03/18/2021, 19:44:51local variable 'judgement_div' referenced before assignment
from case url https://indiankanoon.org/docfragment/69672981/?formInput=doctypes%3A%20supremecourt%20fromdate%3A%201-2-1947%20todate%3A%2028-2-1947  03/19/2021, 19:15:02local variable 'judgement_div' referenced before assignment
from case url https://indiankanoon.org/docfragment/182917801/?formInput=doctypes%3A%20supremecourt%20fromdate%3A%201-2-1947%20todate%3A%2028-2-1947  03/19/2021, 19:16:36local variable 'judgement_div' referenced before assignment
from case url https://indiankanoon.org/docfragment/129896522/?formInput=doctypes%3A%20supremecourt%20fromdate%3A%201-3-1947%20todate%3A%2031-3-1947  03/19/2021, 19:35:02local variable 'judgement_div' referenced before assignment
from case url https://indiankanoon.org/docfragment/1511574/?formInput=doctypes%3A%20supremecourt%20fromdate%3A%201-9-1963%20todate%3A%2030-9-1963  03/20/2021, 01:14:41local variable 'judgement_div' referenced before assignment
from case url https://indiankanoon.org/docfragment/1536859/?formInput=doctypes%3A%20supremecourt%20fromdate%3A%201-10-1963%20todate%3A%2031-10-1963  03/20/2021, 01:16:46local variable 'judgement_div' referenced before assignment
from case url https://indiankanoon.org/docfragment/1762103/?formInput=doctypes%3A%20supremecourt%20fromdate%3A%201-10-1963%20todate%3A%2031-10-1963  03/20/2021, 01:20:51local variable 'judgement_div' referenced before assignment
from case url https://indiankanoon.org/docfragment/363516/?formInput=doctypes%3A%20supremecourt%20fromdate%3A%201-11-1963%20todate%3A%2030-11-1963  03/20/2021, 01:24:02local variable 'judgement_div' referenced before assignment
from case url https://indiankanoon.org/docfragment/757647/?formInput=doctypes%3A%20supremecourt%20fromdate%3A%201-11-1963%20todate%3A%2030-11-1963  03/20/2021, 01:26:05local variable 'judgement_div' referenced before assignment
